invoice_no,customer_id,gender,age,category,quantity,price,payment_method,invoice_date,shopping_mall
I872054,C601454,Male,31,Shoes,5,134.65,Cash,04/10/2021,Kanyon
I238997,C442946,Female,31,Clothing,3,112.07,Credit Card,29/09/2022,Cevahir AVM
I889539,C956037,Male,55,Food & Beverage,3,60.66,Credit Card,23/09/2022,Metrocity
I186388,C778618,Male,31,Books,3,53.47,Debit Card,28/07/2021,Viaport Outlet
I720007,C474285,Male,47,Technology,4,306.08,Credit Card,07/04/2022,Viaport Outlet
I742306,C103489,Female,21,Books,2,38.54,Cash,03/02/2021,Zorlu Center
I914049,C792795,Female,47,Souvenir,1,48.28,Debit Card,04/01/2022,Metropol AVM
I174258,C412984,Female,30,Toys,3,48.92,Credit Card,15/10/2022,Torium
I936507,C266453,Female,54,Shoes,4,132.43,Cash,04/02/2021,Mall of Istanbul
I751286,C762270,Female,69,Food & Beverage,5,56.9,Debit Card,08/12/2022,Metropol AVM
I909063,C389178,Female,45,Souvenir,2,21.94,Credit Card,14/11/2021,Istinye Park
I747408,C124596,Female,37,Toys,4,59.25,Cash,07/05/2022,Kanyon
I817804,C688719,Male,60,Technology,5,372.88,Cash,06/09/2021,Kanyon
I983590,C358594,Female,46,Toys,1,75.65,Debit Card,04/03/2021,Torium
I609800,C849235,Female,29,Clothing,5,39.22,Debit Card,12/03/2021,Istinye Park
I501099,C211045,Female,25,Food & Beverage,5,66.36,Credit Card,22/01/2021,Viaport Outlet
I670509,C515202,Female,48,Food & Beverage,3,19.41,Cash,05/11/2021,Metrocity
I248269,C338745,Male,31,Food & Beverage,3,51.56,Cash,11/08/2022,Zorlu Center
I468066,C899734,Female,23,Shoes,3,125.75,Cash,18/01/2022,Kanyon
I133550,C777892,Female,44,Shoes,2,63.89,Cash,29/04/2022,Metropol AVM
I376786,C581241,Female,40,Clothing,1,93.54,Credit Card,28/06/2021,Cevahir AVM
I730381,C823616,Female,37,Cosmetics,3,148.75,Credit Card,03/06/2022,Istinye Park
I517799,C127544,Female,24,Books,3,25.24,Credit Card,01/06/2021,Metropol AVM
I361188,C958744,Male,31,Clothing,5,120.23,Debit Card,15/01/2022,Metropol AVM
I718173,C111984,Female,52,Shoes,2,167.17,Credit Card,02/11/2021,Zorlu Center
I703826,C285267,Male,19,Technology,5,119.46,Credit Card,16/10/2021,Viaport Outlet
I424158,C446795,Male,54,Clothing,2,106.66,Credit Card,21/12/2021,Metropol AVM
I905955,C801161,Female,66,Clothing,2,42.45,Credit Card,12/08/2021,Zorlu Center
I472429,C813015,Female,19,Shoes,4,88.06,Credit Card,23/08/2022,Mall of Istanbul
I825903,C486369,Male,64,Technology,5,362.64,Cash,13/10/2022,Zorlu Center
I730167,C184598,Male,33,Technology,5,128.44,Cash,08/06/2021,Viaport Outlet
I190629,C895143,Female,47,Toys,2,29.12,Credit Card,31/03/2022,Zorlu Center
I607704,C762354,Female,18,Technology,5,205.1,Debit Card,23/08/2022,Kanyon
I438974,C784095,Male,66,Clothing,3,94.18,Debit Card,19/12/2022,Istinye Park
I407682,C830780,Male,28,Toys,5,45.06,Cash,05/03/2023,Zorlu Center
I409454,C832591,Female,46,Shoes,2,57.41,Debit Card,17/02/2022,Cevahir AVM
I215266,C296473,Female,50,Souvenir,4,45.96,Cash,16/04/2022,Zorlu Center
I288362,C623922,Male,23,Souvenir,2,30.96,Cash,22/02/2022,Mall of Istanbul
I546850,C291112,Female,37,Books,4,38.71,Debit Card,28/10/2021,Zorlu Center
I899131,C556048,Male,31,Books,4,41.48,Cash,03/02/2023,Cevahir AVM
I331241,C779950,Female,30,Shoes,4,114.31,Cash,16/12/2021,Metropol AVM
I351249,C480385,Female,67,Food & Beverage,5,58.28,Debit Card,01/10/2022,Mall of Istanbul
I166912,C768995,Female,48,Books,5,62.29,Credit Card,13/11/2021,Zorlu Center
I769615,C756702,Male,62,Clothing,5,53.87,Credit Card,25/07/2022,Mall of Istanbul
I179183,C651002,Male,67,Shoes,4,79.2,Debit Card,05/10/2021,Istinye Park
I160282,C176709,Female,63,Clothing,3,66.64,Debit Card,18/11/2021,Zorlu Center
I158249,C293838,Female,28,Shoes,5,154.82,Credit Card,04/04/2021,Viaport Outlet
I662464,C799660,Female,68,Food & Beverage,2,72.84,Credit Card,10/07/2021,Zorlu Center
I632451,C560255,Female,66,Cosmetics,5,79.94,Credit Card,11/11/2022,Metrocity
I940642,C765587,Female,60,Technology,4,75.3,Credit Card,26/12/2022,Metrocity
I223844,C793615,Female,20,Books,2,29.81,Debit Card,30/08/2021,Emaar Square Mall
I466731,C928717,Male,67,Clothing,4,43.22,Credit Card,17/01/2023,Emaar Square Mall
I855640,C401065,Male,61,Shoes,4,112.59,Cash,13/11/2021,Viaport Outlet
I434123,C760918,Female,63,Books,4,23.9,Cash,06/02/2021,Emaar Square Mall
I703148,C401334,Female,24,Food & Beverage,1,54.13,Cash,11/04/2022,Viaport Outlet
I252215,C169547,Female,53,Clothing,3,76.6,Credit Card,27/08/2022,Emaar Square Mall
I891352,C218916,Female,56,Clothing,5,56.78,Credit Card,12/01/2023,Cevahir AVM
I707199,C985251,Female,24,Technology,4,175.29,Credit Card,15/06/2021,Mall of Istanbul
I924428,C763965,Female,34,Books,4,24.13,Credit Card,17/01/2021,Mall of Istanbul
I504964,C881416,Male,67,Souvenir,1,22.03,Credit Card,26/08/2021,Zorlu Center
I456215,C411219,Female,60,Books,3,14.7,Credit Card,08/08/2021,Cevahir AVM
I147252,C112512,Male,18,Cosmetics,2,143.56,Credit Card,09/03/2021,Metrocity
I556395,C451975,Male,29,Technology,3,208.36,Credit Card,08/01/2021,Torium
I152756,C989740,Female,18,Books,5,32.43,Credit Card,28/04/2021,Cevahir AVM
I936667,C105237,Male,39,Toys,2,76.81,Credit Card,11/01/2023,Metropol AVM
I452690,C432191,Male,61,Cosmetics,5,43.4,Credit Card,07/01/2023,Mall of Istanbul
I493236,C120896,Male,23,Clothing,2,31.63,Cash,24/10/2021,Metrocity
I311325,C401881,Male,32,Toys,2,88.22,Cash,13/02/2023,Emaar Square Mall
I470565,C352541,Female,33,Cosmetics,4,32.75,Cash,28/02/2023,Zorlu Center
I428779,C542173,Male,53,Technology,4,330.17,Cash,13/04/2022,Emaar Square Mall
I909657,C138598,Male,30,Souvenir,4,46.61,Credit Card,08/12/2021,Torium
I299245,C120365,Male,69,Cosmetics,5,99.35,Debit Card,15/11/2022,Metrocity
I993317,C576775,Male,29,Books,3,58.63,Cash,30/03/2022,Emaar Square Mall
I599264,C458511,Female,47,Clothing,4,80.62,Credit Card,24/06/2021,Metrocity
I185333,C375469,Male,41,Shoes,1,175.51,Debit Card,22/04/2022,Cevahir AVM
I795585,C210345,Female,35,Clothing,1,88.45,Cash,13/01/2022,Emaar Square Mall
I372951,C675080,Female,51,Clothing,1,32.32,Cash,05/06/2022,Kanyon
I106402,C732762,Female,56,Clothing,3,59.36,Credit Card,15/09/2022,Mall of Istanbul
I104521,C111763,Female,37,Books,4,46.82,Cash,01/01/2022,Cevahir AVM
I818525,C544198,Female,64,Clothing,4,79.34,Credit Card,09/03/2021,Metropol AVM
I875173,C197508,Male,55,Cosmetics,5,54.47,Credit Card,26/10/2021,Istinye Park
I108382,C894285,Female,25,Cosmetics,1,51.84,Cash,08/07/2022,Istinye Park
I616243,C638513,Female,66,Shoes,5,171.53,Credit Card,25/11/2021,Zorlu Center
I997428,C960562,Male,35,Clothing,1,101.19,Cash,06/12/2021,Mall of Istanbul
I595873,C724615,Female,63,Shoes,3,110.91,Cash,14/01/2023,Metrocity
I639353,C896649,Male,58,Clothing,2,113.78,Credit Card,08/07/2022,Istinye Park
I447614,C751370,Female,60,Books,2,53.11,Debit Card,04/09/2022,Zorlu Center
I114425,C770958,Male,50,Shoes,2,108.42,Debit Card,02/07/2022,Mall of Istanbul
I899543,C477858,Female,52,Food & Beverage,2,73.11,Credit Card,01/03/2023,Metrocity
I271871,C644503,Male,22,Books,5,37.54,Cash,30/05/2022,Cevahir AVM
I677545,C772390,Female,39,Clothing,3,106.37,Cash,24/09/2022,Kanyon
I816537,C837606,Female,26,Books,4,53.03,Credit Card,21/12/2021,Kanyon
I443190,C419487,Female,62,Cosmetics,2,101.55,Credit Card,07/09/2021,Metrocity
I924283,C143764,Female,52,Food & Beverage,5,55.35,Credit Card,14/01/2023,Kanyon
I633104,C963795,Female,69,Cosmetics,4,126.51,Credit Card,31/03/2021,Viaport Outlet
I571069,C464981,Male,30,Clothing,5,107.69,Credit Card,01/02/2022,Istinye Park
I102175,C457413,Male,19,Books,3,14.38,Credit Card,12/01/2021,Cevahir AVM
I373485,C727262,Female,47,Cosmetics,3,77.13,Cash,26/09/2022,Viaport Outlet
I950340,C564885,Female,45,Cosmetics,3,50.73,Credit Card,12/12/2021,Istinye Park
I781014,C676319,Female,28,Food & Beverage,2,39.05,Credit Card,16/05/2022,Mall of Istanbul
I554111,C243354,Female,50,Shoes,5,46.85,Cash,02/08/2021,Istinye Park
I683984,C310295,Female,47,Food & Beverage,2,72.74,Debit Card,08/08/2022,Istinye Park
I288961,C878245,Female,62,Clothing,4,74.98,Credit Card,27/11/2021,Torium
I318216,C898409,Female,23,Food & Beverage,2,18.06,Credit Card,04/10/2022,Kanyon
I445259,C592159,Female,60,Clothing,2,31.74,Credit Card,16/10/2021,Emaar Square Mall
I392338,C738073,Male,22,Books,5,46.61,Credit Card,01/10/2021,Zorlu Center
I528053,C245579,Male,26,Shoes,4,103.42,Cash,19/04/2021,Zorlu Center
I562110,C609347,Female,52,Shoes,3,112.75,Credit Card,24/12/2021,Mall of Istanbul
I184358,C969284,Female,50,Souvenir,5,32.84,Cash,29/04/2022,Metrocity
I272648,C191455,Male,36,Food & Beverage,2,26.26,Credit Card,15/12/2021,Emaar Square Mall
I464692,C603030,Female,43,Food & Beverage,5,29.25,Credit Card,24/05/2022,Metrocity
I775087,C808378,Male,39,Toys,3,52.41,Debit Card,14/01/2022,Kanyon
I658867,C353548,Male,29,Food & Beverage,4,49.79,Cash,02/11/2022,Metropol AVM
I196554,C670560,Male,62,Cosmetics,3,123.03,Cash,15/02/2022,Torium
I771915,C773664,Female,41,Clothing,3,37.07,Cash,20/04/2022,Mall of Istanbul
I939726,C329807,Female,19,Food & Beverage,1,65.46,Cash,20/10/2022,Torium
I674065,C173556,Male,23,Toys,5,91.65,Cash,10/11/2021,Cevahir AVM
I499122,C259908,Female,19,Clothing,5,85.48,Debit Card,22/11/2022,Istinye Park
I140751,C607130,Male,54,Cosmetics,5,102.39,Credit Card,07/03/2022,Emaar Square Mall
I300671,C912379,Female,23,Books,3,23.4,Credit Card,14/07/2021,Istinye Park
I208750,C597712,Female,25,Food & Beverage,4,39.0,Credit Card,07/08/2022,Zorlu Center
I174180,C332758,Female,51,Food & Beverage,3,41.3,Credit Card,26/02/2022,Metrocity
I863274,C105158,Female,59,Clothing,3,82.78,Cash,23/02/2023,Torium
I304750,C884547,Female,21,Souvenir,5,41.4,Credit Card,16/03/2021,Viaport Outlet
I918076,C256865,Male,27,Clothing,1,93.32,Credit Card,14/05/2022,Zorlu Center
I133521,C466017,Male,31,Clothing,1,54.15,Cash,03/05/2022,Cevahir AVM
I635852,C590563,Female,40,Clothing,1,56.35,Debit Card,15/04/2021,Torium
I729443,C538017,Male,67,Clothing,1,89.66,Credit Card,30/01/2021,Mall of Istanbul
I520515,C745952,Male,42,Food & Beverage,5,28.93,Cash,04/06/2021,Emaar Square Mall
I541174,C115344,Female,62,Shoes,1,161.92,Credit Card,12/02/2021,Metrocity
I287150,C650503,Female,67,Food & Beverage,3,71.56,Credit Card,19/11/2021,Viaport Outlet
I506637,C692552,Female,60,Cosmetics,3,128.89,Cash,08/07/2021,Torium
I450891,C641537,Female,53,Cosmetics,5,39.35,Debit Card,30/03/2021,Zorlu Center
I897634,C615802,Female,39,Shoes,2,151.68,Credit Card,31/10/2022,Zorlu Center
I471551,C283418,Female,19,Food & Beverage,5,64.88,Credit Card,01/01/2021,Cevahir AVM
I759045,C473475,Male,23,Technology,4,263.2,Debit Card,15/10/2022,Torium
I190197,C929942,Male,57,Food & Beverage,5,45.73,Credit Card,03/11/2021,Kanyon
I142637,C174918,Female,66,Shoes,4,184.91,Credit Card,07/12/2022,Metropol AVM
I773726,C460089,Female,65,Cosmetics,2,131.41,Credit Card,11/02/2021,Metropol AVM
I596464,C240746,Female,32,Clothing,3,39.53,Debit Card,06/01/2022,Zorlu Center
I124276,C454919,Male,55,Clothing,2,58.77,Cash,02/04/2021,Emaar Square Mall
I967378,C773282,Male,56,Clothing,2,52.08,Debit Card,25/05/2022,Kanyon
I961646,C301392,Male,66,Shoes,5,39.46,Credit Card,25/12/2021,Metropol AVM
I255647,C752315,Male,67,Food & Beverage,5,39.67,Debit Card,29/12/2021,Metrocity
I534617,C669315,Female,55,Technology,4,310.17,Credit Card,21/03/2021,Istinye Park
I403374,C249647,Female,58,Shoes,5,99.59,Cash,09/07/2022,Kanyon
I834784,C374914,Female,22,Cosmetics,1,134.95,Credit Card,02/01/2023,Istinye Park
I486230,C912154,Male,18,Souvenir,2,23.94,Credit Card,25/05/2022,Torium
I229526,C352019,Female,18,Clothing,4,102.18,Debit Card,25/08/2021,Torium
I607723,C806895,Male,44,Clothing,5,121.72,Debit Card,07/09/2021,Metrocity
I561833,C378860,Male,29,Technology,4,136.43,Credit Card,21/07/2022,Torium
I778381,C123600,Male,40,Food & Beverage,4,35.51,Cash,14/06/2022,Torium
I508873,C679867,Male,64,Clothing,1,82.45,Credit Card,11/06/2021,Torium
I397203,C365451,Male,53,Cosmetics,1,31.96,Debit Card,24/08/2022,Cevahir AVM
I101532,C662575,Female,25,Souvenir,3,13.13,Cash,02/07/2022,Viaport Outlet
I619518,C968415,Male,39,Souvenir,1,16.53,Cash,30/04/2021,Cevahir AVM
I202666,C318299,Female,20,Shoes,2,99.22,Credit Card,07/03/2021,Kanyon
I806165,C267105,Male,22,Souvenir,4,41.24,Credit Card,15/12/2022,Viaport Outlet
I181551,C985929,Female,27,Books,3,57.93,Credit Card,07/09/2022,Viaport Outlet
I268828,C740987,Male,30,Souvenir,3,15.32,Credit Card,07/12/2022,Mall of Istanbul
I696168,C236578,Female,43,Souvenir,5,28.73,Debit Card,07/01/2021,Metropol AVM
I206734,C150795,Female,35,Cosmetics,3,84.76,Cash,01/01/2023,Emaar Square Mall
I830002,C671668,Female,42,Cosmetics,4,127.79,Cash,15/04/2022,Metrocity
I938600,C380351,Female,21,Souvenir,4,42.02,Debit Card,06/06/2021,Cevahir AVM
I213123,C807576,Female,40,Food & Beverage,4,59.39,Credit Card,23/03/2022,Kanyon
I830548,C996709,Female,69,Cosmetics,5,122.44,Debit Card,03/05/2021,Emaar Square Mall
I499605,C501604,Male,20,Clothing,1,62.76,Debit Card,22/04/2021,Metrocity
I187897,C378551,Female,55,Cosmetics,5,88.99,Credit Card,06/05/2021,Kanyon
I791207,C611230,Female,57,Technology,5,81.67,Credit Card,14/03/2021,Metropol AVM
I728887,C968928,Female,28,Toys,5,86.06,Credit Card,10/11/2021,Viaport Outlet
I965671,C629174,Male,65,Clothing,4,43.24,Cash,21/02/2021,Viaport Outlet
I380786,C370927,Male,43,Shoes,4,109.0,Credit Card,09/04/2021,Torium
I469006,C839335,Male,68,Food & Beverage,2,64.28,Credit Card,24/09/2022,Torium
I348751,C227532,Male,26,Technology,1,332.68,Credit Card,09/02/2022,Kanyon
I136509,C487544,Male,37,Cosmetics,1,123.07,Cash,02/11/2022,Metropol AVM
I965849,C681997,Male,25,Cosmetics,1,144.98,Debit Card,25/01/2023,Mall of Istanbul
I935669,C515288,Male,21,Technology,3,241.14,Debit Card,08/06/2021,Cevahir AVM
I770774,C522923,Female,31,Clothing,5,59.45,Credit Card,22/01/2022,Torium
I949608,C669324,Female,67,Clothing,2,25.37,Debit Card,06/05/2021,Cevahir AVM
I228633,C824039,Female,24,Cosmetics,3,74.2,Debit Card,16/01/2022,Metrocity
I966297,C938537,Female,50,Clothing,2,91.55,Debit Card,02/06/2021,Mall of Istanbul
I741469,C407262,Female,38,Toys,3,67.41,Credit Card,21/09/2022,Cevahir AVM
I686347,C129858,Female,38,Souvenir,4,40.93,Cash,03/02/2021,Mall of Istanbul
I411294,C577733,Male,51,Clothing,1,65.2,Credit Card,01/12/2021,Istinye Park
I974799,C725940,Female,49,Food & Beverage,3,29.62,Debit Card,13/02/2022,Zorlu Center
I665379,C478418,Female,47,Toys,2,76.01,Credit Card,10/01/2022,Metrocity
I304196,C694833,Female,23,Clothing,1,56.66,Credit Card,22/01/2022,Istinye Park
I100903,C737329,Male,62,Shoes,1,128.76,Cash,26/04/2022,Cevahir AVM
I341024,C586905,Male,45,Shoes,4,183.15,Debit Card,02/04/2021,Viaport Outlet
I940667,C632345,Female,32,Food & Beverage,4,63.83,Credit Card,08/01/2021,Zorlu Center
I289637,C371001,Female,34,Souvenir,3,15.9,Credit Card,13/11/2021,Metropol AVM
I941774,C124083,Female,54,Food & Beverage,5,61.23,Cash,28/08/2021,Torium
I273795,C649656,Female,56,Toys,5,51.48,Cash,08/04/2022,Metropol AVM
I135572,C441470,Male,38,Technology,1,304.9,Credit Card,10/12/2021,Kanyon
I904042,C586609,Male,60,Shoes,5,177.61,Debit Card,27/01/2023,Zorlu Center
I920484,C143471,Female,46,Technology,4,268.45,Debit Card,12/05/2021,Istinye Park
I198993,C511892,Female,43,Food & Beverage,4,47.65,Debit Card,11/10/2021,Kanyon
I449207,C536652,Male,69,Technology,2,153.94,Credit Card,05/02/2023,Viaport Outlet
I522227,C533399,Female,23,Toys,1,74.2,Cash,14/10/2022,Zorlu Center
I596027,C623025,Male,55,Cosmetics,4,45.87,Debit Card,03/03/2023,Torium
I721828,C976591,Male,45,Technology,2,192.47,Credit Card,10/08/2021,Metrocity
I153533,C479270,Male,63,Toys,4,100.0,Cash,13/03/2021,Metropol AVM
I779424,C741701,Female,61,Books,4,57.04,Debit Card,18/05/2022,Istinye Park
I883185,C709392,Male,49,Shoes,4,81.63,Debit Card,23/07/2021,Metropol AVM
I280653,C162527,Female,33,Shoes,5,88.69,Cash,04/10/2022,Cevahir AVM
I220388,C187324,Male,18,Cosmetics,3,145.44,Debit Card,22/10/2022,Zorlu Center
I915134,C314102,Female,23,Clothing,2,61.12,Credit Card,02/07/2022,Metropol AVM
I223482,C526478,Female,23,Toys,3,44.31,Credit Card,18/02/2023,Viaport Outlet
I895063,C770441,Female,29,Shoes,2,108.69,Cash,12/02/2023,Istinye Park
I354936,C153496,Female,49,Food & Beverage,3,16.08,Cash,28/12/2022,Emaar Square Mall
I187388,C666896,Female,36,Souvenir,4,40.72,Cash,13/02/2021,Mall of Istanbul
I749086,C168833,Male,68,Clothing,1,34.53,Credit Card,08/02/2023,Viaport Outlet
I694331,C144214,Female,32,Shoes,5,162.41,Cash,18/12/2022,Viaport Outlet
I784341,C423664,Female,47,Technology,1,94.9,Credit Card,14/07/2022,Metrocity
I922196,C716364,Female,24,Technology,3,97.04,Cash,25/09/2021,Zorlu Center
I857131,C427633,Male,45,Food & Beverage,2,58.99,Credit Card,17/05/2022,Zorlu Center
I884147,C619954,Male,18,Cosmetics,1,60.57,Debit Card,24/05/2021,Emaar Square Mall
I543729,C409633,Male,61,Technology,4,245.44,Credit Card,17/09/2022,Torium
I753302,C406268,Male,29,Food & Beverage,4,57.01,Cash,09/11/2022,Cevahir AVM
I213076,C929121,Male,19,Shoes,5,154.12,Credit Card,08/11/2022,Cevahir AVM
I723295,C827505,Male,27,Clothing,5,57.06,Debit Card,06/04/2022,Istinye Park
I821558,C358534,Female,51,Food & Beverage,5,72.55,Debit Card,20/01/2023,Mall of Istanbul
I911372,C532233,Male,20,Cosmetics,4,46.92,Debit Card,23/10/2022,Cevahir AVM
I993850,C767235,Female,41,Technology,3,195.39,Cash,27/02/2022,Viaport Outlet
I171792,C409283,Male,39,Clothing,3,40.75,Credit Card,11/07/2022,Metrocity
I521648,C993623,Female,25,Souvenir,4,12.6,Cash,07/01/2023,Torium
I108367,C999220,Female,34,Cosmetics,5,86.13,Debit Card,13/07/2021,Metrocity
I998196,C120192,Male,61,Cosmetics,2,48.38,Cash,06/12/2021,Cevahir AVM
I858961,C407774,Male,44,Books,1,56.11,Debit Card,15/06/2022,Viaport Outlet
I895005,C817185,Male,23,Clothing,5,85.69,Cash,01/07/2021,Metropol AVM
I639870,C638825,Male,52,Cosmetics,3,82.16,Cash,25/01/2021,Emaar Square Mall
I236450,C250158,Female,49,Clothing,4,115.26,Debit Card,26/04/2021,Kanyon
I951728,C790621,Female,24,Clothing,3,33.63,Cash,26/11/2022,Viaport Outlet
I768860,C986027,Male,42,Food & Beverage,5,23.4,Credit Card,01/04/2022,Emaar Square Mall
I427985,C767906,Male,62,Clothing,4,29.43,Cash,26/01/2023,Istinye Park
I646169,C264093,Female,26,Clothing,1,46.08,Credit Card,05/03/2023,Mall of Istanbul
I956665,C771619,Male,51,Cosmetics,4,52.48,Credit Card,28/04/2022,Istinye Park
I806902,C215976,Male,49,Toys,2,45.8,Credit Card,25/09/2022,Cevahir AVM
I689573,C903245,Female,25,Cosmetics,2,131.64,Credit Card,30/08/2021,Emaar Square Mall
I159547,C121193,Male,65,Books,5,18.05,Debit Card,29/01/2023,Torium
I817511,C533182,Female,29,Toys,5,31.26,Credit Card,21/11/2021,Kanyon
I762582,C584516,Female,57,Souvenir,5,29.26,Debit Card,29/07/2021,Viaport Outlet
I107933,C268714,Female,62,Books,5,52.68,Cash,03/08/2022,Emaar Square Mall
I445529,C955740,Female,50,Cosmetics,5,143.67,Cash,04/05/2021,Mall of Istanbul
I865127,C997306,Female,28,Shoes,3,58.47,Credit Card,18/04/2021,Torium
I722994,C850509,Female,49,Books,1,58.5,Credit Card,02/04/2022,Emaar Square Mall
I571653,C894693,Male,25,Cosmetics,4,73.71,Debit Card,01/10/2021,Metropol AVM
I971022,C588682,Male,36,Toys,3,85.03,Cash,19/01/2021,Viaport Outlet
I468543,C226045,Female,63,Books,4,43.06,Cash,24/02/2022,Metropol AVM
I421289,C987082,Male,39,Clothing,4,85.58,Debit Card,12/02/2022,Zorlu Center
I274682,C347778,Male,30,Food & Beverage,3,57.46,Credit Card,24/07/2021,Zorlu Center
I419664,C323121,Female,22,Food & Beverage,1,23.95,Credit Card,13/12/2021,Zorlu Center
I628832,C465361,Male,36,Cosmetics,1,87.17,Cash,27/11/2022,Istinye Park
I941244,C496549,Male,41,Souvenir,5,32.96,Cash,28/09/2021,Kanyon
I302682,C724638,Female,37,Food & Beverage,1,19.63,Debit Card,27/01/2023,Emaar Square Mall
I282572,C601900,Female,61,Shoes,2,77.66,Credit Card,28/09/2022,Istinye Park
I481234,C576389,Female,24,Cosmetics,3,80.3,Credit Card,17/05/2022,Emaar Square Mall
I985486,C498091,Female,50,Books,2,27.53,Credit Card,02/02/2022,Torium
I317054,C836518,Female,20,Food & Beverage,3,61.5,Credit Card,25/02/2022,Zorlu Center
I587295,C101736,Female,31,Cosmetics,3,80.12,Debit Card,05/11/2022,Torium
I518005,C457474,Male,37,Books,2,44.86,Credit Card,16/07/2022,Istinye Park
I494833,C894926,Female,48,Technology,2,114.05,Debit Card,03/02/2022,Metrocity
I359711,C783270,Male,37,Clothing,2,120.49,Credit Card,19/01/2023,Viaport Outlet
I725122,C157894,Male,28,Books,2,17.69,Cash,18/02/2021,Mall of Istanbul
I234405,C191831,Female,57,Technology,2,127.18,Cash,07/03/2022,Torium
I140002,C218996,Female,48,Clothing,3,39.53,Credit Card,20/01/2021,Mall of Istanbul
I355549,C813106,Male,49,Technology,3,140.25,Credit Card,17/08/2021,Zorlu Center
I843048,C236826,Male,33,Books,4,62.12,Debit Card,23/07/2021,Viaport Outlet
I582843,C545722,Female,59,Food & Beverage,5,50.37,Debit Card,31/10/2022,Mall of Istanbul
I493727,C811740,Female,33,Toys,3,36.26,Credit Card,11/12/2022,Zorlu Center
I474994,C895443,Female,60,Cosmetics,2,93.06,Credit Card,12/06/2021,Torium
I754299,C899629,Male,20,Clothing,3,87.85,Debit Card,10/12/2022,Emaar Square Mall
I793210,C616452,Female,69,Cosmetics,5,68.79,Credit Card,20/11/2022,Metrocity
I745836,C739083,Female,22,Clothing,1,123.92,Debit Card,09/10/2022,Istinye Park
I575388,C352146,Male,39,Cosmetics,4,86.54,Cash,27/01/2021,Kanyon
I131786,C750580,Male,45,Clothing,3,35.34,Debit Card,05/11/2022,Metrocity
I567572,C108797,Male,30,Clothing,3,110.99,Cash,21/05/2022,Istinye Park
I398388,C720885,Female,21,Clothing,1,116.46,Debit Card,19/06/2022,Metrocity
I830074,C724449,Female,20,Clothing,3,95.45,Credit Card,28/05/2022,Torium
I167261,C340604,Female,69,Shoes,4,109.99,Cash,19/02/2021,Torium
I380621,C924983,Female,48,Technology,1,284.54,Credit Card,30/12/2022,Viaport Outlet
I801893,C708479,Female,62,Clothing,1,94.06,Credit Card,05/04/2022,Metropol AVM
I370640,C924492,Female,38,Toys,5,74.16,Credit Card,30/03/2021,Kanyon
I220522,C764267,Female,43,Clothing,4,49.52,Cash,16/01/2022,Metrocity
I505486,C192918,Male,67,Technology,3,357.88,Debit Card,28/12/2022,Emaar Square Mall
I831368,C441174,Female,42,Food & Beverage,5,67.15,Cash,11/11/2022,Istinye Park
I382868,C814618,Female,39,Food & Beverage,2,37.79,Cash,12/02/2021,Istinye Park
I392560,C732262,Male,19,Clothing,4,57.95,Credit Card,02/12/2022,Istinye Park
I659863,C435412,Male,57,Food & Beverage,1,34.15,Debit Card,11/01/2023,Mall of Istanbul
I574406,C903777,Male,26,Clothing,4,107.13,Credit Card,24/08/2022,Mall of Istanbul
I700902,C571911,Male,21,Technology,2,285.73,Cash,02/07/2022,Metrocity
I193566,C808370,Female,64,Cosmetics,5,86.52,Debit Card,05/03/2021,Metrocity
I352061,C358738,Female,39,Clothing,5,110.25,Debit Card,13/10/2021,Istinye Park
I828468,C939505,Male,54,Clothing,2,78.21,Credit Card,01/12/2021,Kanyon
I227192,C219905,Female,41,Toys,2,69.74,Debit Card,07/09/2021,Emaar Square Mall
I643647,C502625,Male,67,Clothing,4,117.55,Credit Card,23/01/2023,Cevahir AVM
I501914,C886988,Male,47,Clothing,1,47.54,Debit Card,26/01/2022,Zorlu Center
I301464,C133151,Female,49,Toys,2,39.81,Cash,12/12/2022,Kanyon
I848423,C246789,Female,55,Souvenir,3,19.7,Cash,29/05/2021,Zorlu Center
I567997,C809031,Female,29,Food & Beverage,4,67.94,Credit Card,15/11/2021,Metrocity
I667922,C621938,Female,42,Clothing,2,60.67,Cash,19/03/2021,Torium
I217255,C221778,Female,69,Clothing,2,55.82,Debit Card,21/01/2022,Mall of Istanbul
I667152,C111944,Male,27,Clothing,1,25.26,Credit Card,08/08/2021,Istinye Park
I980914,C990000,Female,25,Clothing,1,110.22,Credit Card,17/01/2023,Emaar Square Mall
I137355,C903734,Male,51,Shoes,4,143.47,Credit Card,12/03/2021,Metrocity
I137690,C778439,Female,62,Shoes,1,65.73,Credit Card,13/07/2021,Kanyon
I531030,C161256,Male,21,Souvenir,3,30.94,Debit Card,27/06/2022,Viaport Outlet
I787005,C320669,Male,34,Clothing,5,67.17,Credit Card,18/12/2021,Viaport Outlet
I840174,C679429,Female,27,Food & Beverage,2,60.44,Debit Card,06/11/2022,Zorlu Center
I303811,C336628,Female,54,Cosmetics,3,125.02,Credit Card,23/09/2022,Mall of Istanbul
I680918,C670041,Female,46,Shoes,5,62.48,Cash,20/11/2022,Istinye Park
I279243,C676404,Male,35,Technology,2,279.13,Debit Card,20/06/2021,Istinye Park
I645946,C537146,Male,40,Shoes,3,121.34,Credit Card,05/01/2022,Metrocity
